consolidated_longitude,consolidated_latitude,nbre_pdc,code_departement,point
-4.770224,48.360584,2,29,POINT (-4.770224 48.360584)
-4.764534,48.51339,2,29,POINT (-4.764534 48.51339)
-4.763813,48.448708,2,29,POINT (-4.763813 48.448708)
-4.757681,48.521224,2,29,POINT (-4.757681 48.521224)
-4.750491,48.474991,2,29,POINT (-4.750491 48.474991)
-4.733003,48.432934,2,29,POINT (-4.733003 48.432934)
-4.722911,48.403175,2,29,POINT (-4.722911 48.403175)
-4.719758,48.341545,2,29,POINT (-4.719758 48.341545)
-4.699928,48.557819,2,29,POINT (-4.699928 48.557819)
-4.68705,48.50914,2,29,POINT (-4.68705 48.50914)
-4.658987,48.542091,2,29,POINT (-4.658987 48.542091)
-4.650071,48.048437,2,29,POINT (-4.650071 48.048437)
-4.64612,48.469227,2,29,POINT (-4.64612 48.469227)
-4.64312,48.374123,2,29,POINT (-4.64312 48.374123)
-4.640213,48.467697,2,29,POINT (-4.640213 48.467697)
-4.620963,48.433746,2,29,POINT (-4.620963 48.433746)
-4.61037,48.567944,2,29,POINT (-4.61037 48.567944)
-4.602025,48.525082,2,29,POINT (-4.602025 48.525082)
-4.60053014755249,48.37995910644531,2,29,POINT (-4.60053014755249 48.37995910644531)
-4.60053,48.379959,2,29,POINT (-4.60053 48.379959)
-4.5986,48.428299,2,29,POINT (-4.5986 48.428299)
-4.595497,48.275364,2,29,POINT (-4.595497 48.275364)
-4.5913,48.055546,2,29,POINT (-4.5913 48.055546)
-4.574715,48.587631,2,29,POINT (-4.574715 48.587631)
-4.565287,48.467354,2,29,POINT (-4.565287 48.467354)
-4.564207077026367,48.35915756225586,2,29,POINT (-4.564207077026367 48.35915756225586)
-4.564207,48.359157,2,29,POINT (-4.564207 48.359157)
-4.559065,48.42423,2,29,POINT (-4.559065 48.42423)
-4.559064865112305,48.42422866821289,2,29,POINT (-4.559064865112305 48.42422866821289)
-4.555913,48.619442,2,29,POINT (-4.555913 48.619442)
-4.555006,48.026902,2,29,POINT (-4.555006 48.026902)
-4.543984,48.37805,2,29,POINT (-4.543984 48.37805)
-4.5439839363098145,48.3780517578125,2,29,POINT (-4.5439839363098145 48.3780517578125)
-4.538179,48.552601,2,29,POINT (-4.538179 48.552601)
-4.537401,48.026707,2,29,POINT (-4.537401 48.026707)
-4.532413,48.386104,4,29,POINT (-4.532413 48.386104)
-4.528483,48.411031,2,29,POINT (-4.528483 48.411031)
-4.528482913970947,48.41102981567383,2,29,POINT (-4.528482913970947 48.41102981567383)
-4.523272,48.570396,2,29,POINT (-4.523272 48.570396)
-4.522451,48.38762,2,29,POINT (-4.522451 48.38762)
-4.522450923919678,48.38761901855469,2,29,POINT (-4.522450923919678 48.38761901855469)
-4.514,48.426173,2,29,POINT (-4.514 48.426173)
-4.513999938964844,48.42617416381836,2,29,POINT (-4.513999938964844 48.42617416381836)
-4.512228,48.074905,2,29,POINT (-4.512228 48.074905)
-4.507885,48.285328,2,29,POINT (-4.507885 48.285328)
-4.507157,48.49913,2,29,POINT (-4.507157 48.49913)
-4.506578,48.2258,2,29,POINT (-4.506578 48.2258)
-4.503862,48.606556,2,29,POINT (-4.503862 48.606556)
-4.497263371944418,48.238068825060964,4,29,POINT (-4.497263371944418 48.238068825060964)
-4.491614,48.248337,2,29,POINT (-4.491614 48.248337)
-4.488049,48.042675,2,29,POINT (-4.488049 48.042675)
-4.486453,48.014278,2,29,POINT (-4.486453 48.014278)
-4.486429,48.041206,2,29,POINT (-4.486429 48.041206)
-4.485326,48.383497,2,29,POINT (-4.485326 48.383497)
-4.485325813293457,48.38349533081055,2,29,POINT (-4.485325813293457 48.38349533081055)
-4.482921123504639,48.387237548828125,2,29,POINT (-4.482921123504639 48.387237548828125)
-4.482921,48.387238,2,29,POINT (-4.482921 48.387238)
-4.47967769,48.41308043,2,29,POINT (-4.47967769 48.41308043)
-4.475283,48.415155,2,29,POINT (-4.475283 48.415155)
-4.47419,48.427342,2,29,POINT (-4.47419 48.427342)
-4.47203872,48.25104791,12,29,POINT (-4.47203872 48.25104791)
-4.46994658,48.43078542,18,29,POINT (-4.46994658 48.43078542)
-4.46992334,48.43073859,18,29,POINT (-4.46992334 48.43073859)
-4.46967649,48.43008916,2,29,POINT (-4.46967649 48.43008916)
-4.468967,48.410809,2,29,POINT (-4.468967 48.410809)
-4.468301,48.420313,8,29,POINT (-4.468301 48.420313)
